,code,name,counts
227,323990,박셀바이오,152
228,066575,LG전자우,19
229,206650,유바이오로직스,306
230,005300,롯데칠성,2921
231,004490,세방전지,110
232,298000,효성화학,383
233,214320,이노션,1392
234,048410,현대바이오,608
235,161890,한국콜마,1699
236,020560,아시아나항공,5328
237,022100,포스코 ICT,579
238,005070,코스모신소재,442
239,000670,영풍,551
240,140410,메지온,472
241,300720,한일시멘트,494
242,003240,태광산업,377
243,023590,다우기술,193
244,000250,삼천당제약,299
245,036540,SFA반도체,147
246,001120,LX인터내셔널,59
247,299660,셀리드,197
248,084850,아이티엠반도체,124
249,086520,에코프로,1000
250,192080,더블유게임즈,581
251,086450,동국제약,971
252,014820,동원시스템즈,308
253,102460,이연제약,230
254,003690,코리안리,464
255,093370,후성,258
256,009420,한올바이오파마,562
257,005690,파미셀,808
258,383310,에코프로에이치엔,40
259,018670,SK가스,828
260,144510,녹십자랩셀,576
261,046890,서울반도체,981
262,039130,하나투어,1128
263,069080,웹젠,696
264,001800,오리온홀딩스,91
265,002840,미원상사,230
266,001430,세아베스틸,487
267,005880,대한해운,450
268,003520,영진약품,224
269,241590,화승엔터프라이즈,296
270,365550,ESR켄달스퀘어리츠,19
271,103140,풍산,659
272,079160,CJ CGV,1271
273,344820,KCC글라스,332
274,057050,현대홈쇼핑,2028
275,950220,네오이뮨텍(Reg.S),0
276,267270,현대건설기계,1097
277,950130,엑세스바이오,387
278,039200,오스코텍,224
279,112040,위메이드,898
280,025540,한국단자,155
281,122870,와이지엔터테인먼트,383
282,284740,쿠쿠홈시스,327
283,114090,GKL,606
284,003530,한화투자증권,2404
285,289220,자이언트스텝,47
286,194480,데브시스터즈,195
287,084370,유진테크,308
288,005440,현대그린푸드,1024
289,298380,에이비엘바이오,601
290,003850,보령제약,877
291,069260,휴켐스,280
292,001680,대상,14920
293,020000,한섬,1248
294,064960,SNT모티브,45
295,084990,헬릭스미스,1035
296,006120,SK디스커버리,286
297,079550,LIG넥스원,1735
298,151910,나노스,522
299,003540,대신증권,3883
